Player Name,Club,Nationality,Position,Appearances,Minutes,Goals,Assists,Shots,Shots On Target,Conversion %,Big Chances Missed,Hit Woodwork,Offsides,Touches,Passes,Successful Passes,Passes%,Crosses,Successful Crosses,Crosses %,fThird Passes,Successful fThird Passes,fThird Passes %,Through Balls,Carries,Progressive Carries,Carries Ended with Goal,Carries Ended with Assist,Carries Ended with Shot,Carries Ended with Chance,Possession Won,Dispossessed,Clean Sheets,Clearances,Interceptions,Blocks,Tackles,Ground Duels,gDuels Won,gDuels %,Aerial Duels,aDuels Won,aDuels %,Goals Conceded,xGoT Conceded,Own Goals,Fouls,Yellow Cards,Red Cards,Saves,Saves %,Penalties Saved,Clearances Off Line,Punches,High Claims,Goals Prevented,Age,Starts,xG,xAG,Penalty Goals
David Raya Martín,Arsenal,,GKP,2,180,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,,,,0,,0,,0,0,1,,0,,,,,30,2,0.00,0.00,
Gabriel dos Santos Magalhães,Arsenal,,DEF,2,180,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,0,,0,,1,0,0,,0,,,,,28,2,0.18,0.03,
Myles Lewis-Skelly,Arsenal,,MID,2,160,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,0,,0,,0,0,0,,0,,,,,19,2,0.13,0.13,
Riccardo Calafiori,Arsenal,,DEF,2,170,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,0,,0,,0,0,0,,0,,,,,24,2,0.15,0.55,
Piero Hincapié,Arsenal,,DEF,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,24,0,0.00,0.00,
Benjamin White,Arsenal,,DEF,2,180,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,0,,0,,0,0,0,,0,,,,,28,2,0.18,0.26,
Cristhian Mosquera,Arsenal,,DEF,2,168,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,22,2,0.00,0.01,
Bukayo Saka,Arsenal,,MID,2,157,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,0,,0,,0,0,0,,0,,,,,25,2,1.27,0.12,
Declan Rice,Arsenal,,MID,2,151,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,0,,0,,0,0,0,,0,,,,,27,2,0.07,0.18,
Eberechi Eze,Arsenal,,MID,0,59,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,28,0,0.04,0.07,
Martin Ødegaard,Arsenal,,MID,2,145,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,,,,,,,0,,0,,0,0,0,,0,,,,,27,2,0.29,0.17,
Noni Madueke,Arsenal,,MID,0,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,24,0,0.00,0.04,
Mikel Merino Zazón,Arsenal,,MID,0,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,30,0,0.14,0.02,
Martín Zubimendi Ibáñez,Arsenal,,MID,0,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3,,,,,,,0,,0,,0,0,0,,0,,,,,27,0,0.00,0.02,
Kai Havertz,Arsenal,,FWD,2,180,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,27,2,0.28,0.06,
Ezri Konsa Ngoyo,Arsenal,,DEF,0,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,28,0,0.00,0.00,
Bruno Guimarães Rodriguez Moura,Arsenal,,MID,0,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,28,0,0.00,0.01,
Christos Tzolis,Arsenal,,MID,2,120,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,0,,0,,1,0,0,,0,,,,,24,2,0.19,0.15,
Marco Bizot,Aston Villa,,GKP,1,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,4,,0,,0,0,3,,0,,,,,35,1,0.00,0.00,
Matty Cash,Aston Villa,,DEF,2,167,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,6,,,,,,,5,,0,,1,0,0,,0,,,,,29,2,0.15,0.01,
Tyrone Mings,Aston Villa,,DEF,0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,0,,0,,0,0,0,,0,,,,,33,0,0.00,0.00,
Pau Torres,Aston Villa,,DEF,2,163,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,5,,0,,0,0,0,,0,,,,,29,2,0.00,0.01,
Lamare Bogarde,Aston Villa,,MID,0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,22,0,0.00,0.00,
Ian Maatsen,Aston Villa,,DEF,2,171,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5,,,,,,,5,,0,,1,0,0,,0,,,,,24,2,0.10,0.00,
Victor Lindelöf,Aston Villa,,DEF,2,180,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,5,,1,,0,0,0,,0,,,,,32,2,0.00,0.08,
Emiliano Buendía Stati,Aston Villa,,MID,2,175,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,,,,,,,5,,0,,0,0,0,,0,,,,,29,2,0.17,0.11,
John McGinn,Aston Villa,,MID,2,171,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,,,,,,,5,,0,,2,0,0,,0,,,,,31,2,0.09,0.06,
Ross Barkley,Aston Villa,,MID,2,150,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3,,,,,,,5,,0,,0,0,0,,0,,,,,32,2,0.13,0.04,
Boubacar Kamara,Aston Villa,,MID,2,180,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3,,,,,,,5,,0,,0,0,0,,0,,,,,26,2,0.00,0.03,
George Hemmings,Aston Villa,,MID,2,160,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5,,,,,,,5,,0,,0,0,0,,0,,,,,19,2,0.00,0.01,
